year_month,warehouse_id,total_units
2025-05,WH006,14729
2025-06,WH006,181898
2025-07,WH006,141760
2025-08,WH006,73568
2025-09,WH006,62101
2025-10,WH006,78278
2025-11,WH006,72024
2025-12,WH006,83383
2026-01,WH006,75136
2026-02,WH006,71048
2026-03,WH006,74949
2026-04,WH006,69684
2026-05,WH006,40071
2026-06,WH006,30418
2026-07,WH006,33862
2026-08,WH006,38333
2026-09,WH006,41683
2026-10,WH006,38096
2026-11,WH006,47973
2026-12,WH006,62040
2027-01,WH006,49406
2027-02,WH006,49500
2027-03,WH006,41341
2027-04,WH006,32253
2027-05,WH006,73108
2027-06,WH006,46715
2027-07,WH006,52863
2027-08,WH006,57248
2027-09,WH006,64750
2027-10,WH006,55761
2027-11,WH006,51744
2027-12,WH006,10038
2025-03,WH007,421
2025-04,WH007,6440
2025-05,WH007,7731
2025-06,WH007,9430
2025-07,WH007,17660
2025-08,WH007,17446
2025-09,WH007,25611
2025-10,WH007,17768
2025-11,WH007,30746
2025-12,WH007,20193
2026-01,WH007,28193
2026-02,WH007,36106
2026-03,WH007,33735
2026-04,WH007,29578
2026-05,WH007,41081
2026-06,WH007,34854
2026-07,WH007,35294
2026-08,WH007,30006
2026-09,WH007,40151
2026-10,WH007,51444
2026-11,WH007,43217
2026-12,WH007,40630
2027-01,WH007,47859
2027-02,WH007,55398
2027-03,WH007,53339
2027-04,WH007,52838
2027-05,WH007,51968
2027-06,WH007,50809
2027-07,WH007,51099
2027-08,WH007,56939
2027-09,WH007,71015
2027-10,WH007,72875
2027-11,WH007,54264
2027-12,WH007,15829
2025-02,WH008,490
2025-03,WH008,1489
2025-04,WH008,4178
2025-05,WH008,6660
2025-06,WH008,283403
2025-07,WH008,164991
2025-08,WH008,84012
2025-09,WH008,91111
2025-10,WH008,92965
2025-11,WH008,90656
2025-12,WH008,92087
2026-01,WH008,103618
2026-02,WH008,82168
2026-03,WH008,108156
2026-04,WH008,68914
2026-05,WH008,42547
2026-06,WH008,50158
2026-07,WH008,49837
2026-08,WH008,65620
2026-09,WH008,62815
2026-10,WH008,80321
2026-11,WH008,84975
2026-12,WH008,86103
2027-01,WH008,92137
2027-02,WH008,109107
2027-03,WH008,102569
2027-04,WH008,142630
2027-05,WH008,184212
2027-06,WH008,177159
2027-07,WH008,178243
2027-08,WH008,176765
2027-09,WH008,190679
2027-10,WH008,204719
2027-11,WH008,156204
2027-12,WH008,49173
